CENTER_SD_CD,CENTER_SD_NM,CENTER_SGG_CD,CENTER_SGG_NM,TEST_YEAR,TEST_ALL_CNT,MEMB_CNT,AGE_GBN_CHILDREN_CNT,AGE_GBN_YOUTH_CNT,AGE_GBN_ADULT_CNT,AGE_GBN_CITIZEN_CNT,INPUT_GBN_ADMIN_CNT,INPUT_GBN_INBODY_CNT,TEST_GBN_GENERAL_CNT,TEST_GBN_TRIP_CNT,TEST_SEX_M,TEST_SEX_W,CERT_GBN_GOLD,CERT_GBN_SILVER,CERT_GBN_BRONZE,CERT_GBN_PARTICIPATION,TEST_AGE_YOUNGER10,TEST_AGE_TEENAGERS,TEST_AGE_TWENTIES,TEST_AGE_THIRTIES,TEST_AGE_FORTIES,TEST_AGE_FIFTIES,TEST_AGE_SIXTIES,TEST_AGE_OLDER70
43,충북,43740,영동군,2020,1395,1209,9,830,456,100,1391,4,240,1155,828,567,53,127,260,955,0,905,352,16,7,5,33,77
43,충북,43130,충주시,2022,1882,1863,18,1759,98,7,1882,0,138,1744,1502,380,86,181,306,1309,0,1794,45,12,0,9,20,2
43,충북,43745,증평군,2021,2891,2714,250,2048,525,68,2891,0,516,2375,2385,506,63,226,458,2144,0,2443,246,57,41,18,41,45
43,충북,43113,청주시 흥덕구,2022,711,665,1,45,463,202,711,0,711,0,307,404,27,103,181,400,0,99,208,41,21,67,175,100
43,충북,43113,청주시 흥덕구,2013,4175,130,0,0,2882,1293,3560,0,4175,0,1338,2837,243,560,898,2474,0,33,408,462,660,886,1055,671
43,충북,43740,영동군,2021,733,717,0,454,178,101,732,1,46,687,510,223,35,78,141,479,0,458,22,18,22,42,134,37
43,충북,43745,증평군,2022,173,164,2,5,77,89,173,0,99,74,89,84,10,23,50,90,0,16,28,12,5,10,42,60
43,충북,43113,청주시 흥덕구,2021,675,522,0,126,525,24,520,155,670,5,460,215,44,118,198,315,0,220,331,44,19,20,29,12
43,충북,43130,충주시,2021,103,71,0,8,79,16,103,0,94,9,78,25,17,16,18,52,0,22,44,15,2,3,3,14
43,충북,43750,진천군,2022,38,33,4,4,16,14,38,0,38,0,23,15,2,7,4,25,0,9,4,3,2,4,10,6
43,충북,43720,보은군,2020,139,131,0,23,102,14,46,0,130,9,80,59,5,16,23,95,0,37,31,8,15,24,18,6
43,충북,43740,영동군,2014,3833,106,0,920,2326,587,1959,0,3017,816,1568,2265,174,434,815,2410,0,1056,698,417,560,412,308,382
43,충북,43720,보은군,2022,68,67,3,22,29,14,68,0,52,16,35,33,4,11,9,44,0,25,7,3,4,2,25,2
43,충북,43113,청주시 흥덕구,2014,4658,175,0,789,2708,1161,3021,0,3748,910,1695,2963,503,657,952,2546,0,839,465,328,608,830,912,676
43,충북,43750,진천군,2021,71,70,0,56,15,0,71,0,0,71,38,33,4,12,16,39,0,68,3,0,0,0,0,0
43,충북,43740,영동군,2022,1051,1018,205,450,193,203,1050,1,30,1021,688,363,32,129,256,634,0,662,52,3,13,47,170,104
43,충북,43740,영동군,2019,5156,4516,0,3191,1453,512,5154,2,456,4700,2792,2364,273,644,1070,3169,0,3399,499,162,202,274,251,369
43,충북,43740,영동군,2018,5311,4715,0,2955,1765,591,5299,12,534,4777,2705,2606,235,616,1151,3309,0,3106,510,279,266,362,389,399
43,충북,43720,보은군,2021,132,113,0,6,66,60,131,0,132,0,35,97,5,17,28,82,0,8,5,5,13,33,32,36
44,충남,44250,계룡시,2022,142,131,7,37,96,2,142,0,133,9,108,34,16,34,28,64,0,57,51,8,10,9,7,0
44,충남,44133,천안시 서북구,2022,245,211,2,39,145,59,245,0,194,51,163,82,11,37,47,150,0,57,72,13,14,12,44,33
44,충남,44200,아산시,2022,101,92,4,6,74,17,37,0,101,0,64,37,5,17,18,61,0,17,32,11,12,7,11,11
44,충남,44133,천안시 서북구,2021,70,64,0,7,47,16,66,4,68,2,34,36,2,11,13,44,0,10,17,8,7,5,16,7
44,충남,44250,계룡시,2021,282,264,0,48,223,11,282,0,213,69,244,38,43,63,64,112,0,141,83,7,15,8,25,3
45,전북,45130,군산시,2021,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
45,전북,45140,익산시,2022,98,98,0,52,46,0,98,0,0,98,69,29,6,18,23,51,0,83,15,0,0,0,0,0
45,전북,45111,전주시 완산구,2021,12,12,0,0,12,0,12,0,0,12,5,7,1,1,1,9,0,0,0,0,0,8,4,0
45,전북,45190,남원시,2022,80,76,1,5,65,9,80,0,80,0,46,34,9,12,19,40,0,16,33,10,4,2,6,9
45,전북,45180,정읍시,2022,393,345,11,133,234,15,332,0,228,165,217,176,20,89,90,194,0,165,77,24,25,44,52,6
45,전북,45111,전주시 완산구,2014,3923,31,0,356,2517,1050,2001,0,3037,886,1834,2089,207,529,819,2368,0,539,584,444,560,541,540,715
45,전북,45140,익산시,2010,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
45,전북,45190,남원시,2014,4575,103,0,819,2545,1211,1148,0,2410,2165,2382,2193,94,391,804,3286,0,895,597,431,585,597,663,807
46,전남,46110,목포시,2014,3606,18,0,228,1885,1493,236,0,2741,865,1588,2018,67,254,718,2567,0,301,431,403,356,424,645,1046
46,전남,46230,광양시,2014,4240,4,0,1422,2146,672,1272,0,1393,2847,1230,3010,97,367,611,3165,0,1463,242,512,704,481,363,475
46,전남,46150,순천시,2019,5918,3925,0,456,4206,1256,1455,4463,5286,632,2860,3058,153,619,1600,3546,0,749,1798,504,472,716,907,772
46,전남,46110,목포시,2022,169,155,0,35,129,5,169,0,169,0,100,69,13,21,32,103,0,43,22,4,7,49,44,0
46,전남,46170,나주시,2022,1646,1606,0,1459,168,19,1646,0,113,1533,703,943,46,107,318,1175,0,1516,42,3,15,29,23,18
46,전남,46150,순천시,2018,5541,4024,0,486,4252,803,1802,3739,3759,1782,2650,2891,106,617,1631,3187,0,777,2016,460,598,586,648,456
46,전남,46720,곡성군,2021,67,67,5,15,13,34,67,0,67,0,30,37,3,16,12,36,0,28,4,0,0,0,7,28
46,전남,46150,순천시,2014,4616,408,0,92,2999,1525,2652,0,4616,0,1574,3042,258,674,1151,2533,0,378,786,405,551,598,1004,894
46,전남,46840,무안군,2022,307,303,0,281,26,0,307,0,30,277,107,200,7,22,37,241,0,285,19,0,0,1,2,0
46,전남,46150,순천시,2021,215,203,17,21,170,7,21,194,198,17,120,95,15,35,44,121,0,53,46,27,25,35,26,3
46,전남,46910,신안군,2022,98,81,1,9,84,4,98,0,86,12,45,53,6,13,22,57,0,12,19,7,17,28,13,2
46,전남,46910,신안군,2021,1336,1193,70,452,502,312,1317,0,382,954,655,681,36,69,109,1122,0,523,58,106,162,129,136,222
46,전남,46840,무안군,2021,45,43,8,10,27,0,9,0,42,3,38,7,0,3,6,36,0,22,12,2,2,2,5,0
46,전남,46170,나주시,2021,699,640,0,437,260,2,699,0,182,517,413,286,22,79,127,471,0,511,73,36,41,27,11,0
46,전남,46830,영암군,2022,633,602,25,414,193,1,633,0,129,504,366,267,6,46,122,459,0,463,70,9,9,51,31,0
46,전남,46720,곡성군,2022,929,784,2,100,559,268,929,0,290,639,496,433,70,151,171,537,0,197,74,62,61,154,190,191
47,경북,47150,김천시,2021,192,145,0,38,143,11,192,0,156,36,139,53,11,40,33,108,0,55,55,18,16,12,27,9
47,경북,47113,포항시 북구,2013,3626,64,0,0,2323,1303,1797,0,3626,0,1371,2255,77,329,806,2414,0,31,271,313,629,813,707,862
47,경북,47170,안동시,2020,694,578,0,132,449,113,694,0,675,19,487,207,103,138,170,283,0,226,158,59,35,33,125,58
47,경북,47210,영주시,2021,236,222,1,55,163,17,113,0,133,103,144,92,12,32,55,137,0,107,29,23,18,31,18,10
47,경북,47150,김천시,2022,18,16,0,1,12,5,18,0,18,0,14,4,0,2,4,12,0,1,5,0,2,2,6,2
47,경북,47290,경산시,2021,11,9,0,2,7,2,11,0,11,0,11,0,1,3,2,5,0,4,3,1,0,0,1,2
47,경북,47210,영주시,2022,127,118,0,3,117,7,10,0,127,0,54,73,6,23,21,77,0,17,28,22,20,24,13,3
47,경북,47290,경산시,2022,234,213,0,43,186,5,234,0,165,69,162,72,16,45,48,125,0,76,70,32,22,24,6,4
47,경북,47190,구미시,2021,809,710,2,149,619,39,809,0,364,445,527,282,44,146,199,420,0,381,250,54,43,26,40,15
47,경북,47170,안동시,2022,83,72,0,12,66,5,83,0,83,0,47,36,9,23,15,36,0,16,21,11,7,6,20,2
47,경북,47170,안동시,2021,949,836,0,516,404,29,949,0,525,424,773,176,73,135,197,544,0,637,181,40,23,10,48,10
47,경북,47113,포항시 북구,2022,156,128,0,11,123,22,0,156,156,0,107,49,10,40,34,72,0,38,48,17,9,12,15,17
47,경북,47113,포항시 북구,2014,4214,78,0,587,2524,1103,1740,0,2399,1815,1933,2281,99,420,955,2740,0,710,472,333,498,794,718,689
47,경북,47190,구미시,2022,42,42,0,4,37,1,42,0,42,0,19,23,3,7,8,24,0,8,10,4,9,6,4,1
48,경남,48240,사천시,2022,762,738,134,477,132,19,762,0,176,586,690,72,62,93,125,482,0,613,62,40,15,7,13,12
48,경남,48123,창원시 성산구,2022,250,230,0,30,168,52,250,0,220,30,170,80,14,41,79,116,0,62,84,12,13,14,24,41
48,경남,48123,창원시 성산구,2013,3227,80,0,0,2151,1076,2012,0,3227,0,950,2277,224,503,758,1742,0,39,327,412,668,609,387,785
48,경남,48123,창원시 성산구,2014,4264,144,0,1094,2211,959,1652,0,2537,1727,1461,2803,203,487,791,2783,0,1136,314,378,645,625,492,674
48,경남,48240,사천시,2021,526,506,51,398,75,2,526,0,97,429,417,109,62,85,102,277,0,469,41,10,1,3,2,0
48,경남,48127,창원시 마산회원구,2021,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
48,경남,48123,창원시 성산구,2021,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
48,경남,48127,창원시 마산회원구,2022,55,53,14,13,16,12,50,0,40,15,46,9,6,17,8,24,0,32,8,0,2,0,2,11
50,제주,50130,서귀포시,2014,3685,4,0,97,2432,1156,747,0,1430,2255,1472,2213,104,411,868,2302,0,162,357,511,567,715,437,936
50,제주,50110,제주시,2021,37,26,0,1,32,4,37,0,22,15,27,10,3,6,6,22,0,7,5,2,6,1,15,1
60,세종,60730,세종시,2021,589,491,0,29,345,215,589,0,496,93,201,388,49,99,146,295,0,64,85,77,64,54,128,117
60,세종,60730,세종시,2022,1537,1483,4,1169,313,51,1537,0,370,1167,1086,451,77,177,289,994,0,1199,101,59,63,37,55,23
